Argentina,7,305,532
Bolivia,26,304,483
Brazil,16,336,393
Canada,9,175,114
Switzerland,1,592,150
Chile,50,277,518
China,13,1018,230
Curacao,4,267,305
Estonia,4,651,100
Czech Republic,12,608,140
Denmark,17,596,111
Spain,9,541,183
United Kingdom,10,558,126
Hong Kong,7,1020,261
Ireland,5,534,124
India,2,876,262
Jersey,117,553,140
Japan,59,1102,198
S.Korea,14,1059,200
Liechtenstein,24,600,147
Luxembourg,2,587,138
Morocco,60,531,215
Mexico,24,132,244
Mozambique,15,697,440
Netherlands,3,587,127
Norway,23,595,87
Philippines,98,1061,301
Romania,13,661,164
Russia,3,757,99
Saudia Arabia,46,739,253
Togo,1,553,328
Thailand,1,969,288
USA,38,157,190
Yemen,5,749,294
